Пивоварня,Стиль,Плотность,Алкоголь,Горечь,Хмель,Начало выпуска,Рейтинг,Пиво,Солод,Производство,Подрядчик,Добавки,Ссылка
Brew Fiction,IPA - American,,"6,5%",70 IBU,"                                                                            Citra,                                                                             Galaxy,                                                                             Waimea                                                                        ",06.11.2019,"3,614",3 Sides of the Hopz,,,,,https://your.beer/beer/brew-fiction-3-sides-of-the-hopz
Brew Fiction,Pale Ale - American,,"5,5%",40 IBU,"                                                                            Idaho Gem,                                                                             Citra                                                                        ",23.07.2019,"3,781",Oneth APA,,,,,https://your.beer/beer/brew-fiction-oneth-apa
Brew Fiction,Sour - Fruited Gose,,"6,8%",11 IBU,,20.08.2019,"4,085",Sour Juice Explosion - Pear & Passion Fruit,,,,"                                                                            Passion fruit,                                                                             Pear                                                                        ",https://your.beer/beer/brew-fiction-sour-juice-explosion-pear-and-passion-fruit
Brew Fiction,Sour - Fruited,,"6,5%",11 IBU,,20.08.2019,"3,826",Sour Juice Explosion - Raspberry,,,,                                                                            Raspberry                                                                        ,https://your.beer/beer/brew-fiction-sour-juice-explosion-raspberry
Brew Fiction,Sour - Traditional Gose,,"6,5%",10 IBU,,06.09.2019,"3,507",Wild Tomato Gose,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brew-fiction-wild-tomato-gose
Brew Fiction,Lager - IPL (India Pale Lager),,"5,0%",40 IBU,"                                                                            Sorachi Ace,                                                                             Citra,                                                                             Cascade                                                                        ",23.07.2019,"3,751",3C Pils #2,,,,,https://your.beer/beer/brew-fiction-3c-pils-2
Brew Fiction,Sour - Fruited Gose,,"6,0%",10 IBU,,18.10.2019,"3,828",Smoker BBQ,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brew-fiction-smoker-bbq
Brew Fiction,Mead - Other,,"6,8%",,,06.11.2019,"3,348",Интрига BA Rioja,,,,,https://your.beer/beer/brew-fiction-intriga-ba-rioja
"Brew Fiction, Rising Moon Brewery",IPA - New England / Hazy,,"6,3%",40 IBU,,04.06.2019,"3,948",MODE: DDH NE India Pale Ale,,,,,https://your.beer/beer/brew-fiction-mode-ddh-ne-india-pale-ale
Brew Garage 78,Stout - Milk / Sweet,,"5,5%",25 IBU,,06.07.2020,"3,565",Forever Young,,,,,https://your.beer/beer/brew-garage-78-forever-young
Brew Garage 78,Sour - Other Gose,,"5,2%",8 IBU,,19.08.2021,"3,75",Taco Truck,,,,,https://your.beer/beer/brew-garage-78-taco-truck
Brew Garage 78,Stout - Russian Imperial,,"6,8%",45 IBU,,17.12.2020,"3,917",V12,,,,,https://your.beer/beer/brew-garage-78-v12
Brew Garage 78,Sour - Fruited,,"6,8%",10 IBU,,11.09.2021,"3,722",Don Mazilic,,,,,https://your.beer/beer/brew-garage-78-don-mazilic
Brew York,IPA - American,,"6,4%",,,31.12.2016,"3,635",Big Eagle,,,,,https://your.beer/beer/brew-york-big-eagle
Brew York,Pale Ale - Milkshake,,"5,5%",,,06.07.2018,"3,585",Rhubarbra Streisand,,,,,https://your.beer/beer/brew-york-rhubarbra-streisand
"Brew York, BrewDog",Sour - Fruited Gose,,"5,3%",,,19.10.2017,"3,749",Goose Willis,,,,,https://your.beer/beer/brew-york-goose-willis
Brew York,Stout - Imperial / Double Milk,,"6,8%",,,20.01.2023,"4,214",Empress Tonkoko BA Heaven Hill Edition 2023,,,,,https://your.beer/beer/brew-york-empress-tonkoko-heaven-hill-edition-2023
"Vocation Brewery, Brew York",Stout - Milk / Sweet,,"6,6%",,,09.07.2020,"3,919",Sweet Temptation,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/vocation-brewery-sweet-temptation
Brew York,Stout - Imperial / Double Milk,,"6,8%",,,09.09.2019,"4,072",Twilight's Embrace,,,,,https://your.beer/beer/brew-york-twilight-s-embrace
"Brew York, Emperor's Brewery",Stout - Imperial / Double Milk,,"6,8%",,,07.05.2021,"4,358",The Final Chapter,,,,,https://your.beer/beer/brew-york-the-final-chapter
Brew York,Pale Ale - American,,"4,2%",,,21.08.2019,"3,639",Haze of Thunder,,,,,https://your.beer/beer/brew-york-haze-of-thunder
Brew York,Stout - Milk / Sweet,,"4,3%",,,13.09.2016,"3,755",Tonkoko,,,,,https://your.beer/beer/brew-york-tonkoko
"Funky Fluid, Brew York",IPA - Session,,"4,8%",,,03.11.2022,"3,539",Harry,,,,,https://your.beer/beer/funky-fluid-harry
Brew York,IPA - New England / Hazy,,"5,0%",,,10.04.2018,"3,704",Juice Forsyth,,,,,https://your.beer/beer/brew-york-juice-forsyth
"PZDK Brew, BrewArt",IPA - Black / Cascadian Dark Ale,,"6,2%",55 IBU,,13.03.2024,"3,965",В'ячеслав Чорновіл,,,,,https://your.beer/beer/pzdk-brew-v-yacheslav-chornovil
BrewArt,Sour - Other Gose,,"4,8%",10 IBU,,28.01.2023,"3,961",Fat Tomato,,,,,https://your.beer/beer/brewart-fat-tomato
BrewArt,IPA - New England / Hazy,,"5,1%",43 IBU,,15.10.2022,"3,567",10Q Konteyner,,,,,https://your.beer/beer/brewart-10q-konteyner
BrewDog,IPA - New England / Hazy,,"6,8%",,,31.10.2021,N/A,Double Hazy (2021),,,,,https://your.beer/beer/brewdog-double-hazy-2021
BrewDog,IPA - Milkshake,,"5,0%",,,06.10.2021,"3,582",Hazy Jane Peach,,,,,https://your.beer/beer/brewdog-hazy-jane-peach
BrewDog,Pale Ale - American,,"4,3%",45 IBU,"                                                                            Columbus,                                                                             Chinook,                                                                             Mosaic,                                                                             Citra,                                                                             Talus                                                                        ",31.08.2021,"3,429",Planet Pale,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-planet-pale
BrewDog,Red Ale - American Amber / Red,,"4,3%",,,26.07.2023,"3,411",Shore Leave,,,,,https://your.beer/beer/brewdog-shore-leave
BrewDog,IPA - New England / Hazy,,"5,0%",20 IBU,,19.06.2021,"3,711",Hazy Jane Guava,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-hazy-jane-guava
BrewDog,IPA - American,,"6,0%",30 IBU,,10.10.2022,"3,589",Butterfly Effect,,,,,https://your.beer/beer/brewdog-butterfly-effect
BrewDog,IPA - Belgian,,"6,5%",,,05.11.2022,"3,591",Sandman,,,,,https://your.beer/beer/brewdog-sandman
BrewDog,IPA - Milkshake,,"6,3%",20 IBU,,19.05.2021,"3,407",Tony's Hopolonely,,                                        постоянный выпуск                                     ,,"                                                                            Raspberry,                                                                             Vanilla                                                                        ",https://your.beer/beer/brewdog-tonys-hopolonely
BrewDog,IPA - New England / Hazy,,"6,5%",,,28.03.2024,"3,582",Silk Road Lychee & Mango,,,,,https://your.beer/beer/brewdog-silk-road-lychee-and-mango
BrewDog,IPA - Imperial / Double,,"6,8%",15 IBU,,17.09.2022,"3,675",The Craft Diaries,,,,,https://your.beer/beer/brewdog-the-craft-diaries
"BrewDog, Mikkeller",IPA - New England / Hazy,,"6,5%",,,28.04.2021,"3,735",BrewDog vs Mikkeller: Urban Fog,,,,,https://your.beer/beer/brewdog-urban-fog
BrewDog,IPA - New England / Hazy,,"6,8%",,,01.06.2022,"3,757",Almost Famous,,,,,https://your.beer/beer/brewdog-almost-famous
BrewDog,Stout - Pastry,,"6,0%",,,07.09.2022,"3,634",Cake Cartel,,,,,https://your.beer/beer/brewdog-cake-cartel
BrewDog,IPA - American,,"5,2%",,,09.12.2021,N/A,Gluten Free Punk IPA,,,,,https://your.beer/beer/brewdog-gluten-free-punk-ipa
BrewDog,IPA - Imperial / Double New England / Hazy,,"6,8%",15 IBU,,20.01.2022,"3,717",Arcade Made,,,,,https://your.beer/beer/brewdog-arcade-made
BrewDog,IPA - Fruited,,"6,0%",29 IBU,,24.04.2022,"3,089",Candy Kittens,,,,,https://your.beer/beer/brewdog-candy-kittens
BrewDog,Stout - English,,"6,8%",,,16.09.2022,"3,686",Rattle & Rum,,,,,https://your.beer/beer/brewdog-rattle-and-rum
"Brouwerij de Molen, BrewDog",Stout - Other,,"6,8%",30 IBU,,18.09.2022,"3,485",Doric & Dutch,,,,,https://your.beer/beer/brouwerij-de-molen-doric-and-dutch
BrewDog,IPA - New England / Hazy,,"5,5%",,,11.09.2021,"3,085",Parma Violets,,,,,https://your.beer/beer/brewdog-parma-violets
BrewDog,IPA - Sour,,"6,2%",6 IBU,,17.08.2020,"3,551",Fake Empire,,,,,https://your.beer/beer/brewdog-fake-empire
"BrewDog, SALT",IPA - New England / Hazy,,"6,8%",,,17.01.2021,"3,757",Brewdog vs Salt: Model Citizen,,,,,https://your.beer/beer/brewdog-model-citizen
BrewDog,IPA - Session,,"4,0%",,,22.06.2020,"3,635",Light Speed,,,,,https://your.beer/beer/brewdog-light-speed
BrewDog,Pale Ale - American,,"4,2%",35 IBU,,04.12.2019,"3,374",Pale Ale,,,,,https://your.beer/beer/brewdog-pale-ale
BrewDog,IPA - American,,"5,1%",40 IBU,"                                                                            Amarillo,                                                                             Citra,                                                                             Magnum,                                                                             Mosaic,                                                                             Simcoe                                                                        ",27.10.2020,"3,491",Elvis Juice 5.1%,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-elvis-juice-5-1
"BrewDog, Northern Monk",IPA - New England / Hazy,,"5,2%",,,20.03.2020,"3,781",BrewDog VS Northern Monk: The Vermont Sessions,,,,,https://your.beer/beer/brewdog-brewdog-vs-northern-monk-the-vermont-sessions
BrewDog,IPA - Milkshake,,"4,7%",20 IBU,,15.01.2020,"3,582",Duopolis,,,,,https://your.beer/beer/brewdog-duopolis
BrewDog,Barleywine - American,,"6,8%",,,27.01.2021,"3,749",MMXXX,,,,,https://your.beer/beer/brewdog-mmxxx
BrewDog,IPA - Imperial / Double,,"6,8%",60 IBU,,18.06.2020,"3,712",Double Punk,,,,,https://your.beer/beer/brewdog-double-punk
"SixºNorth, BrewDog",Wheat Beer - Other,,"6,8%",,,23.10.2020,"3,615",Tastes Like Strawberries,,,,,https://your.beer/beer/sixonorth-taste-s-like-strawberries
BrewDog,Pilsner - Other,,"4,7%",,,03.04.2020,"3,554",Lockdown,,,,,https://your.beer/beer/brewdog-lockdown
BrewDog,IPA - American,,"5,1%",60 IBU,,06.05.2020,"3,574",Jagged Edge,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-jagged-edge
BrewDog,Stout - Pastry,,"6,8%",20 IBU,,22.06.2020,N/A,Layer Cake,,,,,https://your.beer/beer/brewdog-layer-cake
BrewDog,IPA - Triple New England / Hazy,,"6,8%",45 IBU,,11.04.2020,"3,835",Triple Hazy,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-triple-hazy
BrewDog,Pilsner - Other,,"4,5%",,,13.01.2021,"3,306",Lost,,,,,https://your.beer/beer/brewdog-lost
BrewDog,IPA - Milkshake,,"6,0%",,,17.01.2021,"3,574",Mallow Laser Quest,,,,,https://your.beer/beer/brewdog-mallow-laser-quest
BrewDog,IPA - Fruited,,"6,5%",11 IBU,,14.04.2021,"3,684",Silk Road,,,,,https://your.beer/beer/brewdog-silk-road
BrewDog,IPA - New England / Hazy,,"6,8%",,,26.04.2021,"3,721",Double Hazy,,,,,https://your.beer/beer/brewdog-double-hazy
BrewDog,Non-Alcoholic Beer - Other,,"0,5%",15 IBU,,02.01.2020,"3,129",Wake Up Call,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-wake-up-call
BrewDog,Porter - Baltic,,"6,2%",50 IBU,,14.06.2018,"3,684",Alice Porter - Enigmatic Nitro Porter,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-alice-porter-enigmatic-nitro-porter
BrewDog,IPA - New England / Hazy,,"5,0%",,,02.12.2019,"3,674",Hazy Jane,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-hazy-jane
BrewDog,Stout - Imperial / Double Coffee,,"6,8%",70 IBU,,26.03.2019,"3,911",Ten Ton Truck Vietnamese Coffee,,,,,https://your.beer/beer/brewdog-ten-ton-truck-vietnamese-coffee
BrewDog,Porter - English,,"5,5%",25 IBU,,31.10.2018,"3,639",Zombie Cake,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-zombie-cake
"BrewDog, Fierce Beer",Stout - Imperial / Double,,"6,8%",25 IBU,,06.04.2018,"4,098",BrewDog VS Fierce: Very Big Moose,,,,,https://your.beer/beer/brewdog-brewdog-vs-fierce-very-big-moose
BrewDog,Non-Alcoholic Beer - Other,,"0,5%",35 IBU,,08.05.2019,"2,876",Punk AF,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-punk-af
BrewDog,IPA - Session,,"4,5%",30 IBU,,08.02.2018,"3,433",Clockwork Tangerine,,                                        постоянный выпуск                                     ,,                                                                            Tangerine                                                                        ,https://your.beer/beer/brewdog-clockwork-tangerine
BrewDog,Pilsner - Other,,"4,7%",37 IBU,,08.04.2018,"3,295",Lost Lager,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-lost-lager
BrewDog,IPA - Imperial / Double,,"6,8%",70 IBU,,30.05.2018,"3,734",Hop Shop,,,,,https://your.beer/beer/brewdog-hop-shop
BrewDog,Stout - Imperial / Double,,"6,8%",35 IBU,,10.11.2018,N/A,Abstrakt AB:26,,,,,https://your.beer/beer/brewdog-abstrakt-ab-26
"Fierce Beer, BrewDog",Stout - Imperial / Double,,"6,8%",,,16.10.2017,"4,172",Very Big Moose,,,,,https://your.beer/beer/fierce-beer-very-big-moose
"OverWorks, BrewDog",IPA - Brett,,"5,5%",42 IBU,,22.01.2019,"3,589",Funk X Punk,,,,,https://your.beer/beer/overworks-funk-x-punk
BrewDog,Pale Ale - Other,,"4,2%",30 IBU,,10.01.2018,"3,17",Indie Pale Ale,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-indie-pale-ale
BrewDog,Stout - Russian Imperial,,"6,8%",,,09.10.2018,"4,203",Paradox Uncle Duke's,,,,,https://your.beer/beer/brewdog-paradox-uncle-duke-s
BrewDog,Barleywine - Other,,"6,8%",65 IBU,,14.11.2018,"3,71",Beetle Mania,,,,,https://your.beer/beer/brewdog-beetle-mania
BrewDog,IPA - Rye,,"5,2%",55 IBU,"                                                                            Calista,                                                                             Magnum,                                                                             Amarillo                                                                        ",17.09.2017,"3,483",Slot Machine,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-slot-machine
BrewDog,Non-Alcoholic Beer - IPA,,"0,5%",15 IBU,,02.10.2019,"3,057",Hazy Jane Alcohol Free,,,,,https://your.beer/beer/brewdog-hazy-jane-alcohol-free
"Up Front Brewing, BrewDog",Sour - Fruited Gose,,"5,4%",,,19.10.2017,"3,786",Das Ist Techno Sex,,,,,https://your.beer/beer/up-front-brewing-das-ist-techno-sex
BrewDog,Stout - Imperial / Double,,"6,8%",90 IBU,,07.03.2016,N/A,Dog E,,,,,https://your.beer/beer/brewdog-dog-e
BrewDog,IPA - American,,"6,8%",250 IBU,,06.07.2012,"3,77",Jack Hammer,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-jack-hammer
BrewDog,IPA - New England / Hazy,,"6,8%",30 IBU,,18.06.2017,"3,837",O-G Hazy,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-o-g-hazy
BrewDog,IPA - American,"15,0%","6,5%",40 IBU,"                                                                            Magnum,                                                                             Simcoe,                                                                             Amarillo,                                                                             Mosaic,                                                                             Citra                                                                        ",24.02.2016,"3,693",Elvis Juice,"                                                                            Pale Ale,                                                                             Caramel                                                                        ",                                        постоянный выпуск                                     ,,                                                                            Grapefruit                                                                        ,https://your.beer/beer/brewdog-elvis-juice
BrewDog,Stout - Imperial / Double,,"6,8%",100 IBU,,13.02.2015,N/A,Paradox Compass Box,,,,,https://your.beer/beer/brewdog-paradox-compass-box
BrewDog,Non-Alcoholic Beer - Other,,"1,1%",45 IBU,,22.06.2011,N/A,Nanny State (1.1% ABV),,,,,https://your.beer/beer/brewdog-nanny-state-1-1-abv
BrewDog,Stout - Russian Imperial,,"6,8%",85 IBU,"                                                                            Cascade,                                                                             Fuggle,                                                                             Golding                                                                        ",04.12.2012,"3,92",Cocoa Psycho,"                                                                            Pale Ale,                                                                             Wheat,                                                                             Caramel,                                                                             Smoked,                                                                             Black,                                                                             Roasted Barley                                                                        ",                                        постоянный выпуск                                     ,,"                                                                            Coffee,                                                                             Cocoa                                                                        ",https://your.beer/beer/brewdog-cocoa-psycho
BrewDog,Pale Ale - American,,"3,8%",40 IBU,,26.07.2016,N/A,LIVE Dead Pony Club,,,,,https://your.beer/beer/brewdog-live-dead-pony-club
BrewDog,IPA - American,,"6,8%",75 IBU,                                                                            Ella                                                                        ,31.03.2015,"3,681",IPA Is Dead Ella,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-ipa-is-dead-ella
BrewDog,Porter - Imperial / Double,,"6,8%",100 IBU,,18.11.2014,N/A,Abstrakt AB:17,,,,,https://your.beer/beer/brewdog-abstrakt-ab-17
BrewDog,Stout - Imperial / Double Oatmeal,,"6,8%",50 IBU,,01.09.2016,N/A,Abstrakt AB:21,,,,,https://your.beer/beer/brewdog-abstrakt-ab-21
BrewDog,Stout - Imperial / Double,,"6,8%",90 IBU,,28.05.2013,N/A,Dog B,,,,,https://your.beer/beer/brewdog-dog-b
BrewDog,Stout - Milk / Sweet,,"4,7%",30 IBU,,05.02.2016,"3,718",Jet Black Heart,,,,,https://your.beer/beer/brewdog-jet-black-heart
BrewDog,Pale Ale - American,"10,0%","3,8%",25 IBU,"                                                                            Simcoe,                                                                             Citra,                                                                             Mosaic                                                                        ",27.04.2012,"3,535",Dead Pony Club,"                                                                            Pale Ale,                                                                             Caramel,                                                                             Crystal                                                                        ",                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-dead-pony-club
BrewDog,Red Ale - American Amber / Red,,"5,0%",35 IBU,"                                                                            Nelson Sauvin,                                                                             Amarillo,                                                                             Simcoe,                                                                             Cascade,                                                                             Centennial,                                                                             Ahtanum                                                                        ",30.10.2010,"3,618",5AM Saint,"                                                                            Maris Otter,                                                                             Caramel,                                                                             Munich,                                                                             Crystal,                                                                             Cara Crystal                                                                        ",                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-5am-saint
BrewDog,IPA - American,,"6,0%",60 IBU,,08.04.2017,N/A,Punk IPA Original,,,,,https://your.beer/beer/brewdog-punk-ipa-original
"BrewDog, Cloudwater",IPA - New England / Hazy,,"6,8%",45 IBU,,03.02.2017,"3,963",BrewDog VS Cloudwater: New England IPA,,,,,https://your.beer/beer/brewdog-brewdog-vs-cloudwater-new-england-ipa
BrewDog,IPA - Imperial / Double,,"6,8%",150 IBU,,14.04.2016,"3,623",Mr. President,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-mr-president
BrewDog,IPA - Farmhouse,,"5,2%",38 IBU,,28.05.2013,"3,469",Electric India,,,,,https://your.beer/beer/brewdog-electric-india
BrewDog,Stout - Imperial / Double,,"6,8%",90 IBU,,08.06.2015,N/A,Dog D,,,,,https://your.beer/beer/brewdog-dog-d
BrewDog,IPA - American,,"5,6%",45 IBU,,21.08.2010,"3,709",Punk IPA,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-punk-ipa
BrewDog,Freeze-Distilled Beer,,"6,8%",,,03.10.2010,"3,63",Sink The Bismarck!,,,,,https://your.beer/beer/brewdog-sink-the-bismarck
BrewDog,Stout - Imperial / Double,,"6,8%",70 IBU,,,"4,038",Paradox Islay,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-paradox-islay
BrewDog,Non-Alcoholic Beer - Other,,"0,5%",45 IBU,,,"2,694",Nanny State,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-nanny-state
BrewDog USA,Cider - Sweet,,"6,0%",,,04.12.2022,"3,821",Dead And Berried,,,,,https://your.beer/beer/brewdog-usa-dead-and-berried
BrewDog USA,IPA - American,,"6,8%",,,01.10.2019,"3,818",Jack Hammer,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewdog-usa-jack-hammer
BrewDog USA,IPA - Fruited,,"6,5%",,,24.05.2023,"3,674",Elvis Juice,,,,,https://your.beer/beer/brewdog-usa-elvis-juice
BrewDog USA,Lager - American,,"4,5%",,,13.08.2023,"3,769",Lost Lager,,,,,https://your.beer/beer/brewdog-usa-lost-lager
BrewDog USA,IPA - American,,"6,8%",,,06.12.2022,"3,71",Punk IPA,,,,,https://your.beer/beer/brewdog-usa-punk-ipa
BrewDog USA,IPA - New England / Hazy,,"6,8%",30 IBU,,24.11.2020,"3,778",Hazy Jane,,,,,https://your.beer/beer/brewdog-usa-hazy-jane
Brewerich,IPA - Milkshake,,"6,0%",12 IBU,"                                                                            Citra,                                                                             Galaxy                                                                        ",10.01.2020,"3,733",Mamanga,,,,                                                                            Mango                                                                        ,https://your.beer/beer/brewerich-mamanga
Brewerich,IPA - Rye,,"6,8%",40 IBU,,17.12.2019,"3,761",Who the F!~k Is Alice,,,,,https://your.beer/beer/brewerich-who-the-f-k-is-alice
Brewerich,Stout - Imperial / Double Oatmeal,,"6,8%",30 IBU,,10.01.2020,"3,974",Bloomberry,,,,                                                                            Blueberry                                                                        ,https://your.beer/beer/brewerich-bloomberry
Brewerich,Stout - Imperial / Double Oatmeal,,"6,8%",25 IBU,,09.10.2019,"3,752",Heavy Maple,,                                        постоянный выпуск                                     ,,                                                                            Maple Syrup                                                                        ,https://your.beer/beer/brewerich-heavy-maple
Brewerich,IPA - Milkshake,,"6,0%",12 IBU,,10.01.2020,"3,496",Avagava,,,,"                                                                            Guava,                                                                             Passion fruit                                                                        ",https://your.beer/beer/brewerich-avagava
Brewerich,Stout - Imperial / Double Milk,,"6,8%",30 IBU,,10.01.2020,"3,601",Chocolate Stout,,,,,https://your.beer/beer/brewerich-chocolate-stout
Brewerich,Pale Ale - Milkshake,,"6,0%",12 IBU,,10.01.2020,"3,585",Boomdarin,,,,,https://your.beer/beer/brewerich-boomdarin
Brewers Beer Pub,Cider - Dry,,"6,7%",,,02.03.2023,"3,813",Berries Cider,,,,,https://your.beer/beer/brewers-beer-pub-berries-cider
Brewers Beer Pub,Cider - Other Fruit,,"6,8%",,,09.11.2022,"4,143",Cherry Cider Old School Natural Fermented,,,,,https://your.beer/beer/brewers-beer-pub-cherry-cider-old-school-natural-fermented
Brewers Beer Pub,Kvass,,,,,08.07.2022,"4,106",Elderflower Kwas,,,,,https://your.beer/beer/brewers-beer-pub-elderflower-kwas
Brewers Beer Pub,Lager - IPL (India Pale Lager),,"4,6%",50 IBU,,05.10.2022,"3,76",Hoppy Lager,,,,,https://your.beer/beer/brewers-beer-pub-hoppy-lager
Brewery Lubrow,IPA - Triple,,"6,8%",70 IBU,,05.10.2022,"3,816",Hop Feast.NINE,,,,,https://your.beer/beer/brewery-lubrow-hop-feast-nine
Brewery Lubrow,Sour - Fruited Gose,,"4,8%",,,04.06.2022,"3,793",Limeberry Gose,,,,,https://your.beer/beer/brewery-lubrow-limeberry-gose
Brewery Ommegang,Sour - Other,,"6,8%",,,02.06.2019,"4,038",Tartannic,,,,,https://your.beer/beer/brewery-ommegang-tartannic
"Brewery Ommegang, Brouwerij Liefmans",Sour - Fruited,,"5,6%",9 IBU,,14.09.2015,"3,838",Rosetta,,,,,https://your.beer/beer/brewery-ommegang-rosetta
Brewery Ommegang,Belgian Quadrupel,,"6,8%",19 IBU,,23.10.2010,"3,949",Three Philosophers,,,,,https://your.beer/beer/brewery-ommegang-three-philosophers
Brewery Ommegang,Farmhouse Ale - Saison,,"6,8%",80 IBU,,05.11.2014,"3,723",Game of Thrones: Three-Eyed Raven,,,,,https://your.beer/beer/brewery-ommegang-game-of-thrones-three-eyed-raven
Brewery Vivant,Stout - Imperial / Double,,"6,8%",,,30.01.2013,"3,785",Tart Side Of The Moon,,,,,https://your.beer/beer/brewery-vivant-tart-side-of-the-moon
Brewery Vivant,Sour - Other,,"6,8%",,,05.10.2012,"4,065",Paris,,,,,https://your.beer/beer/brewery-vivant-paris
"FrauGruber Brewing, BrewHeart",Stout - Imperial / Double Pastry,,"6,8%",,,17.02.2021,"3,886",Psychodelic Peanuts,,,,,https://your.beer/beer/fraugruber-brewing-psychodelic-peanuts
BrewHeart,IPA - Imperial / Double New England / Hazy,,"6,8%",,,23.07.2023,"3,956",Francis Ford Hoppola,,,,,https://your.beer/beer/brewheart-francis-ford-hoppola
"BrewHeart, Salikatt Bryggeri",IPA - Imperial / Double New England / Hazy,,"6,8%",,,23.09.2021,"4,039",Elgen Som Vakler,,,,,https://your.beer/beer/brewheart-elgen-som-vakler
BrewHeart,Sour - Fruited,,"5,9%",,,10.09.2021,"3,479",Surfing the Vanilla Skies,,,,,https://your.beer/beer/brewheart-surfing-the-vanilla-skies
BrewHeart,IPA - New England / Hazy,,"6,8%",,,23.09.2021,"3,98",Caution! Can At Work,,,,,https://your.beer/beer/brewheart-caution-can-at-work
BrewHeart,IPA - Imperial / Double New England / Hazy,,"6,8%",,,22.07.2021,"3,956",The Adventures of Hazy Duck,,,,,https://your.beer/beer/brewheart-the-adventures-of-hazy-duck
BrewHeart,IPA - Imperial / Double New England / Hazy,,"6,8%",,,23.09.2021,"4,051",Welcome To the Stratastrophy ,,,,,https://your.beer/beer/brewheart-welcome-to-the-stratastrophy
Brewin'bar Ginza Brewery,IPA - New England / Hazy,,"5,5%",19 IBU,,08.02.2018,"3,617",New England IPA,,,,,https://your.beer/beer/brewin-bar-ginza-brewery-new-england-ipa
Brewing Brothers,Stout - Irish Dry,,"4,5%",,,01.02.2018,"3,269",Murphys Stout,,,,,https://your.beer/beer/brewing-brothers-murphys-stout
Brewlok,IPA - Other,,"6,9%",,,03.05.2024,"3,708",Citrus Cab,,,,,https://your.beer/beer/brewlok-brewery-citrus-cab
Brewlok,Fruit Beer,,"4,0%",,,05.04.2024,"3,499",Let Love In,,,,,https://your.beer/beer/brewlok-brewery-let-love-in
Brewlok,Stout - Oatmeal,,"5,4%",,,12.04.2024,"3,66",Темным-темно,,,,,https://your.beer/beer/brewlok-brewery-temnym-temno
Brewlok,IPA - Other,,"6,5%",,,03.05.2024,"3,697","UFO, Sir",,,,,https://your.beer/beer/brewlok-brewery-ufo-sir
Brewlok,IPA - Other,,"6,2%",,,19.04.2024,"3,623",Месье Коровьев \ MONSIEUR KOROVIEFF,,,,,https://your.beer/beer/brewlok-brewery-mese-korovev-monsieur-korovieff
Brewlok,Stout - Milk / Sweet,,"6,4%",,,05.04.2024,"3,828",Маслёна,,,,,https://your.beer/beer/brewlok-brewery-maslyona
"Brewlok, КУЛИNAR",Stout - Imperial / Double Oatmeal,,"6,0%",,,10.06.2024,"4,041",SACHERTORTE,,,,,https://your.beer/beer/brewlok-brewery-sachertorte
Brewlok,IPA - Rye,,"6,2%",,,08.05.2024,"3,789",Rye Rocket,,,,,https://your.beer/beer/brewlok-brewery-rye-rocket
Brewlok,IPA - Other,,"6,2%",,,12.04.2024,"3,734",Конец квартиры №50,,,,,https://your.beer/beer/brewlok-brewery-konec-kvartiry-50
Brewlok,Fruit Beer,,"4,0%",,,19.04.2024,"3,529",Завещание поэта,,,,,https://your.beer/beer/brewlok-brewery-zaveshanie-poeta
Brewlok,Sour - Other,,"6,0%",,,17.05.2024,"3,934",Me Muse,,,,,https://your.beer/beer/brewlok-brewery-me-muse
Brewlok,IPA - Other,,"6,9%",,,22.03.2024,"3,778",Митенька,,,,,https://your.beer/beer/brewlok-brewery-mitenka
Brewlok,Non-Alcoholic Beer - IPA,,"0,5%",40 IBU,,27.06.2024,"3,235",Инок,,,,,https://your.beer/beer/brewlok-brewery-inok
Brewlok,IPA - Milkshake,,"6,9%",40 IBU,,25.04.2024,"3,538",PA-PA PASSION,,,,,https://your.beer/beer/brewlok-brewery-pa-pa-passion
